cell_id,vitmae_leiden_macs
aabbanlb-1,7
aadmmoid-1,7
aaeibddp-1,7
abaomlmi-1,7
abbkncfd-1,7
abeoiddp-1,7
aceenocd-1,5
acenopec-1,2
acifchkh-1,6
aegfpako-1,7
aeggimjl-1,2
aegpgfgd-1,7
agjbflem-1,7
agoapjnn-1,6
aignbmed-1,7
aijkjicc-1,6
aimddnmo-1,6
ajgbhnfb-1,7
ajpohelm-1,7
akkgjech-1,7
alahipep-1,6
alkfdimg-1,2
amecebka-1,6
anfmoied-1,6
anjkkfpn-1,6
aoacioik-1,3
apiddlmo-1,6
bamhceae-1,7
bbbefjkd-1,6
bbhmibig-1,7
bbinhjee-1,7
bbjfiehm-1,6
bconbick-1,6
bdbdiaco-1,7
bdhmomfk-1,7
bdobokjb-1,7
beddhdgp-1,7
befjlbgi-1,6
befpjhid-1,7
begplnap-1,7
bekkkdan-1,6
bekkpbjo-1,6
bfagolab-1,6
bfcapkap-1,7
bfggkdml-1,6
bfhgaopi-1,7
bfollnmi-1,7
bgmcoblo-1,6
bjakbapi-1,3
bjfenldm-1,4
bjjloagb-1,5
bjjmnhag-1,7
bjkhhhig-1,7
bkdgmifn-1,6
bkfimafa-1,6
bkkmlnba-1,7
bkndblff-1,6
blfipbeh-1,6
blgdlbhl-1,7
bloapfio-1,6
bmahfbhe-1,7
bmbhdkpk-1,7
bmbmmjhk-1,6
bmigekak-1,7
bmpgmhfn-1,6
bnaehmbc-1,7
bninebkk-1,6
bnncaefm-1,6
boaeekjo-1,6
boajhiec-1,6
bogehaie-1,6
bohfeenc-1,6
bomlcchp-1,6
bomlhmke-1,6
boncldeh-1,6
boodhehp-1,6
bophclpf-1,7
bpaifgmg-1,3
bpcbbpkn-1,3
bpcbdceh-1,3
bpcpbjlm-1,6
bpdibpie-1,6
bpjdakpa-1,6
bpnfgjbi-1,7
bpomjocd-1,6
caaiocmf-1,6
cabpalhf-1,6
cacjckmo-1,6
cackakbo-1,6
cadlcdjg-1,6
cagnilhf-1,6
cahdohbc-1,7
caijeoam-1,7
calphjij-1,6
cbemgede-1,4
cbemgnkg-1,6
cbjdajng-1,6
cbmnpnjp-1,7
ccbimkmf-1,7
ccgiakif-1,7
cchcgndi-1,6
ccjbohie-1,7
ccleaoob-1,6
ccmlanpd-1,7
cdbpiefn-1,6
cdchicen-1,6
cdecmmjj-1,3
cdeidkjo-1,6
cdmacdcg-1,6
cekhbnhd-1,5
ceodbpki-1,6
cfabemnf-1,3
cfademoc-1,6
cfbhcnhc-1,6
cfdocgol-1,6
cffobcif-1,6
cfgaebbl-1,7
cfhlebff-1,7
cfkhpdio-1,7
cfmnpngn-1,5
cfmpmbgc-1,6
cgcnmgkg-1,6
cgjgapna-1,6
cglmmbpc-1,3
cgnooogm-1,6
cgohopen-1,5
cgopchog-1,6
cgphkhke-1,6
chaocjfo-1,7
chbhohjm-1,6
chcjmefd-1,6
chgkhlkh-1,6
chlgcpbo-1,7
chmmeidm-1,6
chnfognm-1,5
chpdehab-1,6
ciiceeol-1,7
cijkcjmd-1,7
cilenmge-1,6
cimficjb-1,3
cinmgpgj-1,7
ciojogho-1,6
cjacajmm-1,7
cjbcojdm-1,7
cjdbjcce-1,7
cjdpokdc-1,6
cjefmepk-1,7
cjoobbjc-1,6
ckaallmf-1,7
ckddimmi-1,6
ckffiflb-1,6
ckhjiock-1,6
ckjbmeoh-1,7
ckobfgja-1,6
clbbcldh-1,7
cldmeblg-1,6
clhogbpg-1,7
clhohkmd-1,3
clpdidmb-1,4
clpmdhhm-1,6
cmpljfge-1,7
cmponmei-1,7
cnapideg-1,7
cnmapkfn-1,6
cnnhdoho-1,6
coaaajbg-1,7
codfhmim-1,6
coknhnam-1,7
colgacca-1,6
coojafgi-1,6
copbgoji-1,7
cpiabdcb-1,4
cpnamnhd-1,6
dafmdehf-1,6
daggemmn-1,6
dbbahblh-1,7
dbmeipbf-1,6
dbnellih-1,7
dcbbnllb-1,7
dcbpcmok-1,7
dciljcjf-1,1
dckbajhg-1,6
dclknngk-1,6
degaoelp-1,6
dejkkngl-1,6
dffhlghn-1,6
dfkpobne-1,4
dghjnhjb-1,7
dhepbpii-1,5
dhfkakll-1,5
dhikdhfa-1,7
dhjamimf-1,7
didfpole-1,7
difiddgd-1,6
dioelgme-1,7
djgdpdpi-1,7
dkalppoh-1,7
dkdjadma-1,6
dlbphmjo-1,6
dlgohcja-1,7
dljiocjo-1,6
dmlikice-1,7
dnkejiie-1,7
dokmmncg-1,7
dpanjldm-1,7
eajnffjm-1,7
ebdeegnh-1,6
ecfbblil-1,1
ecgnjpfb-1,2
ecjmdplj-1,4
eckojokg-1,5
eclalnel-1,2
eclbnimn-1,2
eclipgjp-1,2
ecnahilp-1,2
ecnlpdkb-1,7
ecnpaihc-1,1
ecojidmb-1,2
ecpclenh-1,2
edbdblhl-1,5
edbeajmb-1,2
edcmfiec-1,2
edgjgoof-1,2
edkdjcgd-1,6
edldlafo-1,1
edmehoaj-1,1
edppeald-1,3
eeakjdmh-1,4
eebbpege-1,4
eebimfcf-1,1
eedglpel-1,3
eedpaeji-1,2
eeeojhbo-1,6
eehbhibe-1,2
eehlipgi-1,2
eejellfj-1,2
eelecacl-1,8
efeldlbm-1,2
efhdgglc-1,2
efibhbci-1,2
efjnplbl-1,2
efkmjbfm-1,1
efobiman-1,2
egcapkoh-1,2
egdaigjk-1,2
egdaoklg-1,2
egiolpdd-1,1
egkbifbb-1,4
eglndlje-1,8
egoicddk-1,8
egphfhgo-1,1
ehbnefgb-1,6
ehdeimpo-1,1
ehegofle-1,3
eheoeain-1,4
ehfeajkh-1,4
ehfocghd-1,4
ehgblkch-1,4
ehggpoji-1,4
ehiijemn-1,3
ehjfkjib-1,4
ehncjcci-1,6
eiaampjc-1,4
eibdcbnm-1,1
eiedemok-1,3
eiegefbd-1,1
eieldbij-1,4
eifhnlcn-1,4
eifknhkg-1,4
eiicapbd-1,8
eiijabpm-1,4
einjddjm-1,2
einkjegn-1,6
eioipjlo-1,1
eiolodpd-1,6
ejaaajbh-1,8
ejadfdmf-1,4
ejbhgbfm-1,4
ejbhhpkh-1,8
ejdfkidi-1,1
ejenjkoh-1,1
ejkhapig-1,1
ejmbaefp-1,6
ejoaeaeg-1,4
ekfokohk-1,1
ekhhcilp-1,4
ekhhnnkf-1,8
ekjliaag-1,8
eklclajh-1,4
eklonfak-1,1
elekolap-1,4
elfbkald-1,4
elgeamnh-1,4
elhlpojb-1,1
ellincfi-1,1
elmnfgne-1,1
emcaeaik-1,1
emhjfaol-1,1
emhmocic-1,4
emhobebi-1,1
emoiineh-1,8
enbokcbd-1,1
enebjeof-1,2
enhnboog-1,4
enigkkde-1,2
enjlinhp-1,8
enknmani-1,6
enljkmoh-1,5
ennbjjna-1,3
enoabbfm-1,4
enofmhin-1,1
enogoemd-1,2
enonbkdl-1,4
enpodjld-1,2
enpofmdb-1,4
eoflkael-1,4
eogflekc-1,3
eogicecb-1,3
eoheignm-1,3
eohoajkg-1,1
eoiaidpe-1,8
eoicjgdj-1,8
eoiddopg-1,2
eoijcdcj-1,3
eojlmkmd-1,1
eokafihl-1,8
eoofghgp-1,2
eopoafch-1,4
epaclkhj-1,4
epfllmon-1,2
epfmghnn-1,2
epihdlec-1,3
epkgleck-1,2
eplhgnod-1,6
eplibohn-1,4
epmkbijp-1,8
epoadjbi-1,8
epocflfm-1,6
epoodnkm-1,1
eppfacee-1,1
fadcmefe-1,3
fadjlofa-1,3
fagnhlje-1,6
fajjflcj-1,1
falakmbp-1,1
fapmglal-1,1
fbbgmhnd-1,6
fbhalimb-1,2
fbhceofb-1,1
fbijelii-1,4
fbjkmamg-1,2
fbkagcmh-1,8
fbkdiaie-1,2
fbkkfnlj-1,1
fblejnfp-1,2
fbmflkho-1,2
fbmmigcj-1,2
fbnbcpmp-1,1
fbnhmlii-1,1
fbomnebl-1,1
fcbigidb-1,2
fcbihiai-1,1
fccielap-1,6
fcdknchn-1,1
fcdlgkej-1,3
fceadblo-1,3
fcgkpaba-1,3
fcheecdl-1,2
fcigccpn-1,2
fcihefpg-1,3
fckgejci-1,4
fcmelleb-1,4
fcnedola-1,4
fcpikeco-1,4
fdfgdgnk-1,3
fdkhomeh-1,2
feeggibc-1,4
fehabinc-1,2
feibdgdf-1,1
feikagnc-1,1
fejkemei-1,2
fejlgnjd-1,1
fejnidcd-1,1
felemdob-1,1
fenemeka-1,2
ffcpdgop-1,4
fffghkgi-1,4
ffjalaoi-1,6
ffmbamff-1,8
ffnbmnlb-1,4
ffopndha-1,1
fgglbjfi-1,6
fghfeokl-1,6
fghiagam-1,6
fghmpjih-1,1
fgihdnli-1,1
fgiokmgj-1,8
fgjgkbnc-1,1
fgnbglkb-1,4
fhalkpnn-1,1
fhgdnobd-1,3
fhjbmheb-1,2
fhlegldg-1,4
fhodjbje-1,2
fhognlle-1,2
fhokockn-1,2
ficpkbhg-1,2
fifjelki-1,4
fjdapbkk-1,4
fjdbianl-1,4
fjekoige-1,7
fjeobloh-1,1
fjkmogcg-1,6
fjkppkjj-1,8
fjlipbnn-1,1
fjlncckh-1,1
fjlnofpi-1,1
fjmgomdd-1,1
fjmiklfk-1,1
fkamojle-1,6
fkbcifhi-1,3
fkbmefmk-1,4
fkcdhdki-1,1
fkeddihc-1,2
fkejdiha-1,1
fkfagjfc-1,2
fkfphokf-1,1
fkkcjjfb-1,6
fkmblbgd-1,4
fknpmkma-1,4
fkoafcmj-1,3
flcclpde-1,2
flcinbij-1,2
flgbjelb-1,4
flkipeco-1,5
flklfmlk-1,2
fllnjphk-1,2
flmjelln-1,5
fmhifnkd-1,4
fmmaknng-1,8
fmpifhnf-1,1
fmpipdaf-1,1
fmpmfhaf-1,8
fnaehgbo-1,1
fndjljcj-1,1
fndoaklk-1,7
fnfdbaib-1,1
fnglhpbj-1,2
fnimaini-1,3
fnimdack-1,3
fnkfonma-1,4
fnldgdfi-1,2
foeckjkj-1,4
fofebbap-1,4
foilbcbn-1,2
fojieiag-1,2
fokggbjh-1,2
fokmjkca-1,2
fonbckbl-1,3
fpbdikno-1,3
fpfaelbk-1,8
fpknnbih-1,4
fpmplmim-1,2
fpogpnga-1,2
fppijcgb-1,2
gaacmdpo-1,2
gaagpagj-1,2
gabcdaad-1,5
gacnoncn-1,8
gajegmdg-1,2
gakpjgia-1,4
gbahbgij-1,3
gbepbdjk-1,2
gbhcfcgp-1,4
gbicfhpf-1,3
gbppjbbh-1,8
gccbacbf-1,1
gcedcmop-1,4
gcfdjcec-1,3
gcfeanhe-1,8
gcfodokg-1,4
gcgafdmk-1,2
gcgikcoh-1,4
gciekeee-1,1
gcldgbjo-1,8
gcmnecpm-1,6
gcnajckk-1,1
gdafnjdn-1,8
gdbhfgee-1,1
gdbocjig-1,6
gddhejih-1,1
gddiahno-1,1
gddklhha-1,1
gdfbjino-1,1
gdfmgknd-1,6
gdgmkhlh-1,1
gdmiccem-1,4
gdnclnlm-1,8
gdngedfp-1,4
gdondafa-1,1
gdpmoifb-1,2
gebhhgfh-1,4
gedacmbb-1,8
geefgcge-1,4
gegnkkhm-1,4
geibkbdo-1,6
geildadm-1,8
gejajgeo-1,1
gekdbgdf-1,8
gelbnend-1,6
gemkiian-1,1
geojlmdf-1,1
gepiacni-1,8
gepiedhj-1,1
geplkkkl-1,6
geploeha-1,8
gepmlala-1,3
gepnbajd-1,1
gfafcnhg-1,1
gfafehfa-1,1
gfajjlna-1,1
gffecpeo-1,1
gfhkkaca-1,1
gflojmni-1,1
ggadinkn-1,4
ggdejahf-1,6
ggdgjdee-1,6
ggdgkpdk-1,1
ggjigeee-1,2
ghbffnbc-1,2
ghcfbhhb-1,2
ghcfpgmd-1,2
ghfeadac-1,1
ghfimhpg-1,4
giaepkbg-1,8
gibnmjin-1,2
giekghkg-1,2
gifnfdpf-1,2
giobmpmb-1,1
gjakejjg-1,2
gjcfobip-1,3
gjffmpje-1,1
gjflfnlm-1,6
gjigdmlo-1,2
gjkakgfg-1,2
gjkfgind-1,2
gjlagglj-1,2
gjmcokfk-1,3
gjnfpbii-1,2
gjpogncn-1,4
gkclmlbb-1,2
gkgannfg-1,6
gkgleabm-1,1
glbfifog-1,2
glnahdfa-1,3
gmjknifo-1,3
gmjnchcf-1,3
gmklcdbd-1,4
gnbmhffo-1,4
gnemkcpk-1,8
gnheaafc-1,4
gnhgihpd-1,4
gnhojcli-1,4
gnkbclha-1,3
gnkjddjh-1,3
gnkocagp-1,4
gnobkiek-1,3
gocjgeph-1,3
godnjiof-1,4
gofkoodl-1,5
goimjabg-1,2
gphajidd-1,2
gpjheogf-1,3
gplhjhhe-1,4
gpmeadod-1,4
gpoppdcc-1,4
gppmhokg-1,4
hadkahhb-1,3
haecmmhd-1,2
hahflpoc-1,5
hakmbgbm-1,3
hbadcpgl-1,3
hbdochgo-1,3
hbhkjngm-1,3
hbjdjddo-1,3
hblhhbgl-1,3
hcobdfkn-1,1
hdcgggio-1,8
hdenpenm-1,4
hdhclgap-1,1
hdkhinfi-1,4
hecdipnm-1,4
hedojnbg-1,4
heghhbpd-1,1
heglkkbb-1,1
hehcjiof-1,2
hfaejbjl-1,3
hfcfponl-1,4
hgfkhhja-1,3
hghihgbm-1,2
hghpmnpc-1,3
hgiolcpa-1,2
hgkghkpk-1,3
hglmgoek-1,3
hhamippa-1,2
hhbomkil-1,7
hhddjijb-1,4
hheehcpf-1,8
hhfdaacp-1,8
hhgajnih-1,8
hhhpljbj-1,8
hhidkoni-1,8
hhiimcko-1,8
hhmcmdpl-1,2
hhnelmjj-1,6
hhopobaj-1,3
hhpccpnl-1,4
hhpfoklb-1,6
hiaebkjf-1,8
hidalgbf-1,2
higlcbed-1,8
hihfbibk-1,8
hinddkfd-1,4
hinddpgb-1,8
hinpbajk-1,2
hioaopno-1,8
hjaieofg-1,8
hjfjdkhl-1,2
hjieineo-1,2
hjlphkpd-1,4
hjnhjpna-1,6
hjnpedlj-1,2
hkbofpio-1,2
hkfgebfm-1,4
hkhkjhcf-1,2
hkimkkln-1,2
hkkmilgj-1,2
hkmlchal-1,3
hkmodnoh-1,4
hkpelbdd-1,4
hlaiopkm-1,2
hlclgimc-1,2
hldchiif-1,2
hleglafj-1,1
hlgaifea-1,4
hlignofg-1,4
