cell_id,vitmae_leiden_macs
hljfglan-1,1
hllmhibk-1,5
hlmkdhig-1,5
hmlegcbd-1,2
hncmehfd-1,2
hnfijpbm-1,4
hnflhldl-1,5
hngcapgc-1,2
hnijnago-1,4
hnkcldil-1,2
hnkoblkd-1,2
hnlfkgfe-1,2
hnlgfbog-1,6
hnmfllpg-1,5
hnmgepfn-1,5
hoefhogh-1,2
hogdoaag-1,4
hohikphj-1,5
hohndgbl-1,4
hohpjnfm-1,5
homcfkmg-1,4
homoifaj-1,1
hpbigkki-1,6
hpjaiikk-1,3
hpjopglm-1,2
hpndkdcg-1,4
hpniijdo-1,6
iaeecpoi-1,5
iajmnbkf-1,3
iakonocd-1,5
ialchacn-1,2
iamfejbh-1,2
iangphmp-1,2
iaoikold-1,6
ibaigldb-1,6
ibambcba-1,1
ibbefaeo-1,1
ibedehkh-1,1
ibggkpgb-1,4
ibijcifg-1,2
ibjfcbic-1,2
ibmakifn-1,8
ibmcdcil-1,4
ibmcljkp-1,8
ibmgddeh-1,4
ibmjncjc-1,3
ibneampc-1,7
ibodgifo-1,6
ibodllnp-1,6
ibofiaje-1,1
ibpelfpg-1,6
icagblmb-1,8
icbdncep-1,3
iccckkog-1,6
icdfpccb-1,1
icdihpno-1,1
icgkofgk-1,1
ichpbfip-1,6
icjdllkc-1,1
icjplhhc-1,3
ickomfhi-1,3
icphbdlb-1,8
idbcpicc-1,4
idbdjhmh-1,4
idbgjcdi-1,3
idbpbbgh-1,4
iddeogcj-1,8
iddgooif-1,6
idebdopd-1,5
idfcoaog-1,6
idhbpfem-1,6
idhefnfl-1,4
idhpkfhp-1,1
idkdaphp-1,6
idkpcafb-1,3
idldjjcj-1,6
idllkmea-1,4
idmehpac-1,3
idoccolc-1,8
idoihkif-1,4
idpigogd-1,4
ieajfdjg-1,4
ieclolpe-1,8
iedngejn-1,6
iefgenkl-1,6
iehjiplh-1,6
ieiboobk-1,8
iekmgmoa-1,6
iemahcij-1,6
iennhdge-1,1
ifaemjgk-1,1
ifajadgf-1,1
ifecolgd-1,5
iffnohbl-1,6
iffojobg-1,4
iffoleei-1,2
ifjkabee-1,1
igeodeie-1,4
igjjgoja-1,2
igkehcef-1,2
ihcdgjfe-1,1
ihddaooj-1,2
ihfpkfaj-1,2
ihgicbfe-1,2
ihjpdopd-1,2
iiiebnme-1,4
iilnjdkl-1,6
iippbbbi-1,3
ijdfnplf-1,6
ijekohll-1,4
ijfpgmen-1,4
ijkipogl-1,2
ijmcmjom-1,4
ijmkcdng-1,4
ijmnljhk-1,2
ijoplbbl-1,4
ikcnnaan-1,2
ikelepmo-1,1
ikeplmkk-1,5
ikfpcijf-1,1
ikhpkbcb-1,4
ikjmejjj-1,1
ikloopfo-1,1
ikmbdagl-1,5
ikmfpcfe-1,2
iknfjgeh-1,2
iknjihmh-1,6
ikphlcaj-1,2
ilajhkln-1,8
ilapmjbh-1,4
ilcijilo-1,6
ilffijnf-1,8
ilfneiej-1,8
ilhhenec-1,4
iliobifj-1,4
illnppap-1,1
ilmjkdii-1,1
ilmpdejl-1,5
ilmpjhgo-1,4
imabgppo-1,4
imalpelp-1,4
imcafmed-1,4
imgeafdk-1,2
imhelmog-1,4
imjdggpo-1,8
imjehanh-1,2
imkjlfcc-1,2
immgfped-1,3
imofmodc-1,2
inefdmai-1,2
ineflmgd-1,2
inenmnko-1,2
inidelmk-1,1
injcpooi-1,2
inkgmkac-1,4
inmhidgf-1,1
ioaopmgg-1,1
iogicngj-1,2
iohhgjlc-1,8
iohhpfma-1,4
iokdialm-1,8
ioohocmb-1,5
iooolmda-1,2
ipamgncj-1,1
ipdbcpom-1,8
ipddpcpj-1,2
ipehkkml-1,5
ipgngjhc-1,1
ipnkkfgp-1,4
jafcimbc-1,2
jaomhmje-1,1
jbchfdjh-1,4
jbcjnnfi-1,4
jbdncfll-1,1
jbfgfipc-1,2
jbimmagc-1,1
jbjmlcge-1,6
jbkpomea-1,2
jblcjdba-1,1
jcajadpm-1,1
jcccanap-1,6
jcckaphb-1,6
jcdpnppl-1,1
jchniidc-1,2
jcngdhpg-1,4
jdaeadih-1,1
jdajpjod-1,6
jdgamlmh-1,1
jdijihhk-1,2
jdlkabfk-1,8
jdmbjcpe-1,8
jdmgpcip-1,4
jdnckjfe-1,1
jdpmpadh-1,1
jeedicia-1,8
jegmikkg-1,2
jenbdecp-1,4
jepemnho-1,1
jfafenec-1,8
jfafipfm-1,1
jfakfnnk-1,1
jfeipfom-1,1
jfghhegb-1,2
jfgmlfgh-1,2
jfjfldbi-1,8
jfjjcomd-1,4
jgbodidp-1,4
jgefhmac-1,2
jgkkanfd-1,1
jgkmiiof-1,1
jgmlpklo-1,2
jgnicekc-1,4
jgnnakjn-1,2
jgoooenp-1,3
jhccbpha-1,4
jhcdkbmo-1,8
jhdmgkje-1,3
jhehcinh-1,4
jhfgojnf-1,4
jhjgbhnc-1,2
jhjhgipo-1,3
jhlbmhbk-1,3
jhljmled-1,3
jhmabllc-1,4
jiapbefo-1,4
jibjlbkg-1,4
jiendfpp-1,4
jieplmhi-1,4
jihndoai-1,5
jipbnfgk-1,3
jipgelhh-1,3
jjepdhaf-1,2
jjiddcak-1,2
jjnifmaj-1,6
jkhpebko-1,2
jkjbmhio-1,2
jkjdpnoo-1,3
jklnmjdp-1,1
jlbchnio-1,2
jlccamkj-1,5
jldgpaba-1,2
jlhiainj-1,2
jmcjndfo-1,8
jmddlfog-1,2
jmdhmlge-1,2
jmdlhhdf-1,4
jmfdjdfl-1,3
jmidboef-1,3
jmjmcgnc-1,3
jmmdlhan-1,6
jmoadeop-1,2
jmonkcjj-1,2
jnaaojml-1,2
jnabbeck-1,4
jnbdadmd-1,3
jncnmlip-1,5
jndgkmgj-1,2
jndoeokl-1,3
jnicglef-1,5
jnkmgmne-1,4
jnlofeac-1,4
jnoaofjg-1,3
jnoeahnc-1,4
jnpaomfk-1,3
johpeabn-1,3
jokaoeek-1,6
jolljmfg-1,6
jonadkfi-1,5
jonhpdai-1,2
jpahhdmb-1,3
jpegjpln-1,3
jpfgkagn-1,2
jpigobog-1,3
jpphecac-1,3
kabapbni-1,3
kabkaahg-1,2
kaeadkhd-1,2
kafbejbn-1,2
kahdahlm-1,4
kalknjnb-1,3
kalmnjkl-1,2
kampbdkd-1,3
kbhikogo-1,4
kbhpbkpi-1,4
kbippllm-1,4
kbjonbgj-1,4
kbkldebh-1,3
kbmnadco-1,3
kbonclii-1,3
kccjddbc-1,3
kceokdfm-1,3
kcfgcjah-1,2
kcibdhli-1,2
kcjiloag-1,3
kdafmpdk-1,3
kdekpnek-1,4
kdhikeig-1,3
kdhnbpej-1,3
kdpgdgei-1,5
keedlmgk-1,4
kfaifolh-1,3
kfhcfcpo-1,3
kfmemeoe-1,2
kfmhppmn-1,2
kfnenife-1,5
kfomfklg-1,3
kgjklcdo-1,3
kgkageoc-1,2
kilmlioh-1,2
kjdnaokh-1,4
kjeepbdo-1,5
kjfbnnci-1,3
kjgfehmi-1,8
kjhiefbo-1,2
kjhmpkkg-1,4
kjimjjhf-1,4
kjimloge-1,3
kjjgjfga-1,4
kjjnbeha-1,6
kjkegpej-1,3
kjlalfah-1,3
kjmahhem-1,3
kjnhncpa-1,3
kkaeidgh-1,4
kkffnahm-1,3
kkifoppc-1,4
kkkoklod-1,2
kknldnbh-1,4
klbblehb-1,4
kldpmhag-1,3
klgppinl-1,3
klmifbjk-1,2
kmbpkahk-1,3
kmchikng-1,2
kmepgbfp-1,3
kmfmidaj-1,3
kmjjioml-1,3
kmjjogkg-1,3
kmojedac-1,5
knigmgoj-1,4
knmoieob-1,3
koblcjdd-1,2
kofhdmje-1,3
kojboied-1,3
kolkjpgn-1,8
konilebc-1,4
kpdefcln-1,3
kpjfejcb-1,3
lahhaefm-1,4
lamndgmk-1,8
laojopfe-1,6
lbgabfeh-1,3
lcblonam-1,4
lccomjcf-1,8
lcekjjel-1,4
lcgfhime-1,4
lcgfldbd-1,2
lcpckchl-1,4
lcpfcenm-1,8
ldbaombm-1,8
ldegdbmh-1,4
ldjeadog-1,5
ldlflokp-1,4
ldmkejbm-1,8
leaggpdh-1,2
lebcnecj-1,8
ledakcep-1,4
leejlkpf-1,4
legdadah-1,3
leilhobo-1,3
lelclmnd-1,8
lenhiikc-1,3
lfcofijj-1,3
lfegcmmj-1,3
lfeommoe-1,4
lffidghn-1,1
lfklopkl-1,2
lfnpglgl-1,4
lgbfmnbh-1,4
lgfbhmck-1,8
lgfdnhjg-1,5
lggcicoa-1,1
lgiiakpi-1,2
lgjlbigi-1,1
lgladhoe-1,3
lglcakea-1,3
lgmcpcem-1,2
lgmpfpjl-1,2
lgnlpljf-1,2
lgnnmjej-1,2
lgohmanl-1,2
lgoiimbi-1,2
lgonfgnj-1,3
lhbljpie-1,2
lhbpoklp-1,3
lhcinbbl-1,2
lhdlhgab-1,8
lhfniaab-1,1
lhhdneid-1,3
lhhfehpd-1,5
lhhjekhp-1,3
lhihlcfb-1,5
lhkfhdkj-1,2
lhkfmpnb-1,2
lhlnamjj-1,3
lhogjoim-1,3
libalgkm-1,3
licdfkjg-1,3
lidecdmh-1,3
lieobcdc-1,1
lifjgpff-1,8
lifjhehf-1,8
lifkjfaj-1,8
lijlkhjl-1,4
lipcbage-1,3
lipcbiao-1,3
ljabhhde-1,4
ljbdpenn-1,2
ljebldho-1,2
ljfcflbj-1,2
ljmkalnj-1,2
ljomcnge-1,5
lkanbpaf-1,4
lkbckknc-1,6
lkbicifa-1,8
lkdmiahg-1,4
lkfpejmp-1,3
lkgamjdm-1,2
lkjpmkhj-1,3
lklgilof-1,7
lkpfpllh-1,3
llaicodi-1,2
llbfgecl-1,2
llbkngdj-1,2
llbpinpi-1,3
llcmcggm-1,2
llddafjd-1,8
llgjdcgh-1,1
llgkcmif-1,1
llgkllpo-1,4
llicpogo-1,4
lljlmhbe-1,2
llkbinhm-1,6
llligljg-1,8
llonfeag-1,8
llpklofc-1,1
llpokhen-1,4
lmbamnhl-1,4
lmbekekd-1,6
lmcojmlo-1,4
lmephdnn-1,8
lmfljagg-1,8
lmgmikeb-1,8
lmiddjfj-1,1
lmlkdadf-1,4
lmmdaoan-1,8
lmnhonic-1,4
lmofepmn-1,3
lmppeggj-1,2
lnaapkak-1,3
lnbegbkd-1,3
lncakibl-1,4
lnkbnakc-1,1
lnkhhfne-1,6
lnlmgjgn-1,5
lnmgjcon-1,4
lnnhdhjl-1,8
lnogabba-1,2
lnohhnhb-1,1
lnopdpoc-1,2
loadflbl-1,8
lodgemip-1,4
loelkfmj-1,8
loeolaic-1,1
lonjafnj-1,6
looidilp-1,4
looolkje-1,4
lopbhkgl-1,4
lopgcofn-1,8
lopjjppp-1,5
lopjnnjp-1,5
loplohkm-1,2
lopobpep-1,5
lpaemgkm-1,5
lpbcmefn-1,2
lpcenjmo-1,2
lphinjlp-1,2
lpidjino-1,2
lplgiclp-1,2
lpmcnjgk-1,2
lpmhedfo-1,2
lpmlkllh-1,1
maegdlan-1,5
maenajma-1,2
mahfhgbd-1,7
mahinnlg-1,1
maifcjpj-1,2
maiodggh-1,5
malfdjfk-1,2
mbaokgde-1,5
mbdcfajm-1,2
mbecnboe-1,1
mbeiaopl-1,7
mbeljado-1,5
mbfgeank-1,2
mbfgjdgi-1,6
mbgmdpbf-1,2
mbheepca-1,2
mbhjbnml-1,2
mbiafokm-1,2
mbipoekk-1,5
mbjacflg-1,2
mbkliage-1,2
mbljnddg-1,2
mbmhogab-1,2
mbncbmna-1,2
mbndlnme-1,5
mbobaana-1,2
mcbmfdaj-1,2
mcdffjhi-1,2
mcfahdhc-1,2
mcgpapdp-1,5
mchjgcgd-1,2
mcicoamj-1,2
mcjmdihd-1,7
mcmjjnck-1,6
mcneenbo-1,6
mcnfmejm-1,2
mddkbccc-1,1
mdejdgdg-1,3
mdffonjb-1,4
mdhclapp-1,2
mdigplhh-1,2
mdiolmpj-1,2
mdjnppdi-1,5
mdmaoaap-1,2
mdmnaelb-1,2
mdnjooij-1,2
meaooijm-1,5
mebdbjhg-1,2
mebincpb-1,1
medhaibl-1,3
meepbhhl-1,7
mefcniim-1,2
meghelfn-1,6
mehgmchk-1,6
mepbocfk-1,2
mepkbkfm-1,2
mfalcdkn-1,2
mfaogfom-1,3
mfcmfkdl-1,2
mfgehhjj-1,2
mfhdllkd-1,4
mfhkonhc-1,1
mfielnij-1,4
mfiomdkn-1,2
mfkpelim-1,5
mfmljkga-1,2
mfnnjigg-1,3
mfocfhgp-1,2
mfolfodf-1,2
mfopcpdi-1,4
mgakcklp-1,1
mgalmbcg-1,2
mgdakbdj-1,1
mgeocihg-1,2
mghcojhn-1,2
mghockkh-1,2
mgilfkdc-1,2
mgjcppao-1,4
mgldlfep-1,4
mgmejmnf-1,2
mgmijgen-1,2
mgmkloln-1,2
mgmmdnko-1,3
mgnccoap-1,4
mhadeemi-1,2
mhamliep-1,2
mhamnklp-1,2
mhanhijo-1,4
mhcajbgl-1,3
mhcalpjm-1,4
mheclnbh-1,2
mheeadoh-1,2
mhenjdmd-1,6
mhgpkkcm-1,1
mhmiahlb-1,2
mhnokjni-1,1
mialikoi-1,5
mihdopde-1,1
mihnikob-1,1
mjkjlbnk-1,4
mlpbgpam-1,8
mmafficg-1,4
mmklikcm-1,6
mmlolfco-1,3
mmmdnndh-1,1
mmmnkmnf-1,2
mnaimiap-1,6
mnnfedco-1,4
mohabcoa-1,3
mpofelnm-1,3
nabgmlgh-1,2
nacbmgaj-1,4
naglojfh-1,3
nbpkpann-1,2
ncheedpc-1,2
nchodaie-1,2
ncmhhehe-1,3
neiollmj-1,1
nekbdfli-1,2
nekmmdpi-1,4
neldnblb-1,4
nenlkodm-1,4
nepbfhoa-1,3
nepldike-1,4
nfbkpmde-1,4
nfcbdadb-1,4
nfcloejk-1,2
nfiefohb-1,4
nghkkkje-1,3
ngknppnk-1,3
ngolmmhf-1,4
nhdhbipb-1,5
nheeklbc-1,3
nhemanmk-1,3
nhhpbfng-1,3
nhlieggf-1,3
njifikgl-1,2
nkhflmck-1,4
nkhpohmc-1,3
nmajpohl-1,3
nmejofmj-1,3
nmnineel-1,4
nnafnlma-1,4
nnekcnli-1,3
nnkpomdb-1,2
npcbgaog-1,4
nphkimpo-1,3
nppcmmpk-1,4
ocaogaek-1,3
ocbamgca-1,4
ocjefphe-1,4
ocngclle-1,3
oelekiom-1,4
oginnhbp-1,8
ogkiobha-1,8
ogngjdco-1,1
ohknedol-1,3
