Codex_Name,Present in both,CITEseq_feature_name
CCR7,TRUE,CD197-(CCR7)
CD103,TRUE,CD103-(Integrin-alphaE)
CD11b,TRUE,CD11b
CD11c,TRUE,CD11c
CD138,TRUE,CD138-(Syndecan-1)
CD15,TRUE,CD15-(SSEA-1)
CD16,TRUE,CD16
CD163,TRUE,CD163
CD20,TRUE,CD20
CD206,TRUE,CD206-(MMR)
CD21,TRUE,CD21
CD25,TRUE,CD25
CD3,TRUE,CD3
CD31,TRUE,CD31
CD34,TRUE,CD34
CD38,TRUE,CD38
CD4,TRUE,CD4
CD45,TRUE,CD45
CD45RA,TRUE,CD45RA
CD45RO,TRUE,CD45RO
CD56,TRUE,CD56-(NCAM)
CD57,TRUE,CD57-Recombinant
CD69,TRUE,CD69
CD8,TRUE,CD8
CLEC9A,TRUE,CD370-(CLEC9A-DNGR1)
CXCR5,TRUE,CD185-(CXCR5)
HLA-DR,TRUE,HLA-DR
LAG3,TRUE,CD223-(LAG-3)
PD-1,TRUE,CD279-(PD-1)
PD-L1,TRUE,CD274-(B7-H1--PD-L1)
Podoplanin,TRUE,Podoplanin
Arginase-1,,
aSMA,,
BCL2,,
betaCatenin,,
CD68,,
CHGA,,
CollagenIV,,
DAPI,,
EGFR,,
FAP,,
FoxP3,,
GATA3,,
GFAP,,
GranzymeB,,
IDO-1,,
IL-10,,
Ki67,,
MCT,,
MUC-1,,
Ox40,,
p53,,
panCK,,
PAX5,,
PDGFRb,,
S100,,
Synaptophysin,,
Tbet,,
Vimentin,,